2022년도 수시(5차) UNIST 전임교수 초빙(컴퓨터공학과 추가),2022.09.21,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022092002500107&disclosureNo=2022092002500107
UNIST 연구지원본부 기술지원팀 연구원 채용 공고,2022.09.16,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022091602498774&disclosureNo=2022091602498774
기술경영전문대학원 연구원 채용공고(2022/3차),2022.09.15,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022091502498270&disclosureNo=2022091502498270
공과대학 연구원 채용 공고 (2022년 9차),2022.09.08,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022090802496081&disclosureNo=2022090802496081
UNIST정보바이오융합대학 연구원 채용공고(2022/9차),2022.08.31,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022083002492277&disclosureNo=2022083002492277
울산과학기술원 바이오메디컬공학과 연구교수(비전임) 채용공고,2022.08.24,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082402489828&disclosureNo=2022082402489828
UNIST 리더십센터 연구원 채용 공고,2022.08.29,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082402489653&disclosureNo=2022082402489653
2022-9차 자연과학대학 연구원 채용 공고,2022.08.24,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082302489375&disclosureNo=2022082302489375
2022년도 수시(4차) UNIST 전임교수 초빙(디자인학과 추가),2022.08.23,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082302488987&disclosureNo=2022082302488987
경영과학부 연구원 채용공고(2022/7차),2022.08.23,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082202488656&disclosureNo=2022082202488656
기술경영전문대학원 연구원 채용공고(2022/2차),2022.08.23,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082202488586&disclosureNo=2022082202488586
공과대학 연구원 채용 공고 (2022년 8차),2022.08.12,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022081202485716&disclosureNo=2022081202485716
UNIST정보바이오융합대학 연구원 채용공고(2022/8A차),2022.08.10,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022081002484260&disclosureNo=2022081002484260
UNIST 연구지원본부 기술지원팀 휴직대체인력 채용 공고,2022.08.12,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022080902483682&disclosureNo=2022080902483682
울산과학기술원 전기전자공학과 산학협력중점교수(비전임) 채용공고,2022.08.04,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022080302481053&disclosureNo=2022080302481053
UNIST정보바이오융합대학 연구원 채용공고(2022/8차),2022.08.02,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022080102480149&disclosureNo=2022080102480149
울산과학기술원 산업공학과 연구교수(비전임) 채용 공고,2022.08.01,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022072602477364&disclosureNo=2022072602477364
울산과학기술원 도시환경공학과 석좌교수(비전임) 채용 공고,2022.07.22,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022072202476304&disclosureNo=2022072202476304
울산과학기술원 경영과학부 연구교수 채용공고(2차),2022.07.22,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022072202476270&disclosureNo=2022072202476270
생활지원팀 계약직(대체인력) 채용 공고,2022.07.25,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022082402489914&disclosureNo=2022082402489914
2022-8차 자연과학대학 연구원 채용 공고,2022.07.21,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022072002475440&disclosureNo=2022072002475440
UNIST 게놈산업기술센터 2022년 5차 연구원 채용공고,2022.07.15,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022071502473075&disclosureNo=2022071502473075
2022년도 수시(3차) UNIST 전임교수 초빙(컴퓨터공학과 추가),2022.07.15,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022071502472770&disclosureNo=2022071502472770
울산과학기술원 기술경영전문대학원 연구교수 채용공고,2022.07.15,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022071502472669&disclosureNo=2022071502472669
경영과학부 연구원 채용공고(2022/6차),2022.07.15,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022071502472662&disclosureNo=2022071502472662
UNIST 연구지원본부 기술지원팀 휴직대체인력 채용 공고,2022.07.20,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022071402472248&disclosureNo=2022071402472248
공과대학 연구원 채용 공고 (2022년 7차),2022.07.12,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022071202470731&disclosureNo=2022071202470731
울산과학기술원 기술경영전문대학원 산학협력중점교수 채용공고,2022.07.07,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022070702462739&disclosureNo=2022070702462739
울산과학기술원 경영과학부 연구교수 채용공고,2022.07.06,https://www.alio.go.kr/item/itemBoardB1020.do?seq=2022070502461702&disclosureNo=2022070502461702
